name,lon,has_kiosk,station_id,eightd_station_services,station_type,lat,region_id,capacity_original,zipCode,capacity_zip_sum
W 52 St & 11 Ave,-73.99392888,True,72,[],classic,40.76727216,71,55,10019,1510
Grand Army Plaza & Central Park S,-73.97371465,True,281,[],classic,40.7643971,71,96,10019,1510
W 56 St & 6 Ave,-73.97722479,True,352,[],classic,40.76340613,71,36,10019,1510
W 59 St & 10 Ave,-73.988038,True,422,[],classic,40.770513,71,115,10019,1510
W 54 St & 9 Ave,-73.98690506,True,423,[],classic,40.76584941,71,44,10019,1510
8 Ave & W 52 St,-73.9851615,True,447,[],classic,40.76370739,71,31,10019,1510
W 49 St & 8 Ave,-73.98788205,True,450,[],classic,40.76227205,71,67,10019,1510
Broadway & W 58 St,-73.98169333,True,457,[],classic,40.76695317,71,79,10019,1510
Broadway & W 56 St,-73.98192338,True,468,[],classic,40.7652654,71,79,10019,1510
Broadway & W 53 St,-73.98268129,True,469,[],classic,40.76344058,71,85,10019,1510
W 53 St & 10 Ave,-73.99061728,True,480,[],classic,40.76669671,71,29,10019,1510
Broadway & W 51 St,-73.98336183,True,500,[],classic,40.76228826,71,78,10019,1510
W 56 St & 10 Ave,-73.988639,True,513,[],classic,40.768254,71,29,10019,1510
11 Ave & W 59 St,-73.99046033620834,True,530,[],classic,40.77149671054441,71,24,10019,1510
Central Park S & 6 Ave,-73.97634151,True,2006,[],classic,40.76590936,71,73,10019,1510
5 Ave & E 63 St,-73.971518,True,3136,[],classic,40.766368,71,51,10019,1510
W 52 St & 6 Ave,-73.97982001304626,True,3443,[],classic,40.76132983124814,71,59,10019,1510
W 50 St & 9 Ave,-73.98917958140373,True,3699,[],classic,40.763604677958625,71,30,10019,1510
7 Ave & Central Park South,-73.9790689945221,True,3724,[],classic,40.7667405590595,71,81,10019,1510
W 55 St & 6 Ave,-73.978434,True,3809,[],classic,40.763189,71,77,10019,1510
W 50 St & 10 Ave,-73.99194359779358,True,4235,[],classic,40.764734200065185,71,55,10019,1510
W 54 St & 11 Ave,-73.992573,True,4236,[],classic,40.768333,71,59,10019,1510
Broadway	& W 48 St,-73.98486793041229,True,4642,[],classic,40.76017739537783,71,71,10019,1510
8 Ave & W 49 St,-73.98655101656914,True,4651,[],classic,40.76171227910671,71,57,10019,1510
W 56 St & 8 Ave,-73.98313522338867,True,4712,[],classic,40.765959181657976,71,50,10019,1510
Franklin St & W Broadway,-74.00666661,True,79,[],classic,40.71911552,71,33,10013,978
Hudson St & Reade St,-74.0091059,True,146,[],classic,40.71625008,71,55,10013,978
Laight St & Hudson St,-74.00771779,True,248,[],classic,40.72185379,71,91,10013,978
Harrison St & Hudson St,-74.0090009,True,249,[],classic,40.71870987,71,27,10013,978
Lispenard St & Broadway,-74.00247214,True,257,[],classic,40.71939226,71,70,10013,978
Howard St & Lafayette St,-73.99973337,True,268,[],classic,40.71910537,71,27,10013,978
Leonard St & Church St,-74.005549,True,320,[],classic,40.717571,71,54,10013,978
Watts St & Greenwich St,-74.00965965,True,328,[],classic,40.72405549,71,35,10013,978
Bayard St & Baxter St,-73.99974372,True,355,[],classic,40.71602118,71,43,10013,978
6 Ave & Canal St,-74.00566443,True,377,[],classic,40.72243797,71,49,10013,978
Grand St & Greene St,-74.00238141417502,True,2010,[],classic,40.72170005235607,71,43,10013,978
Grand St & Elizabeth St,-73.99596,True,3435,[],classic,40.718822,71,44,10013,978
Greenwich St & Hubert St,-74.010065,True,3436,[],classic,40.721319,71,35,10013,978
North Moore St & Greenwich St,-74.0103006362915,True,3664,[],classic,40.72019521437465,71,29,10013,978
6 Ave & Broome St,-74.00473,True,3746,[],classic,40.72431,71,48,10013,978
Spring St & Hudson St,-74.0076532959938,True,4214,[],classic,40.72583996792375,71,43,10013,978
Duane St & Hudson St,-74.00925,True,4407,[],classic,40.71703,71,44,10013,978
